;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
695410;09/21/2016;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;MD;Web;Yes;Yes
695413;10/26/2016;Debt collection;I do not know;ERC;CA;Web;Yes;Yes
695577;11/20/2015;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;No
695682;09/16/2016;Student loan;Federal student loan servicing;Great Lakes;MI;Web;Yes;No
695709;09/16/2016;Debt collection;Medical;COLLECTION PROFESSIONALS INC (Illinois);IL;Web;Yes;No
695751;11/27/2015;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;No
695797;11/08/2016;Debt collection;Credit card;Synchrony Financial;KY;Web;Yes;Yes
695868;08/10/2015;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;No
695902;04/19/2016;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;No
695930;01/15/2016;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;Yes
696065;04/14/2016;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;Yes
696161;09/03/2016;Payday loan;Payday loan;Harpeth Financial Services, LLC;TN;Web;Yes;No
696169;03/21/2016;Debt collection;Credit card;Frederick J. Hanna & Associates, P.C. (closed);GA;Web;Yes;No
696320;09/13/2016;Debt collection;Other (i.e. phone, health club, etc.);Sunrise Credit Services Inc.;TX;Web;Yes;No
696454;09/20/2016;Debt collection;I do not know;United Revenue Corporation;AZ;Web;Yes;No
696511;09/14/2016;Debt collection;Payday loan;Midwest Recovery Systems;MO;Web;Yes;No
696550;09/07/2016;Debt collection;Other (i.e. phone, health club, etc.);USAA Savings;GA;Web;Yes;No
697075;09/13/2016;Debt collection;Credit card;Citibank;FL;Web;Yes;No
697166;09/16/2016;Debt collection;Medical;AmeriCollect;PA;Web;Yes;No
697195;09/14/2016;Debt collection;I do not know;I.C. System, Inc.;NM;Web;Yes;No
697410;09/06/2016;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;TX;Web;Yes;No
697495;09/14/2016;Debt collection;Other (i.e. phone, health club, etc.);Linebarger Goggan Blair & Sampson, LLP;TX;Web;Yes;No
697609;09/17/2016;Payday loan;Payday loan;Kwikcash, Inc.;CA;Web;Yes;No
697624;08/09/2016;Debt collection;Credit card;Citibank;KY;Web;Yes;No
697762;09/01/2016;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;CA;Web;Yes;No
698030;08/18/2016;Debt collection;Credit card;ZENCO COLLECTION, LLC;IL;Web;Yes;No
698325;08/12/2016;Debt collection;Other (i.e. phone, health club, etc.);Flagstar Bank;IL;Web;Yes;No
698440;08/16/2016;Debt collection;Other (i.e. phone, health club, etc.);Advanced Collection Bureau, Inc.;TX;Web;Yes;Yes
698496;09/16/2016;Debt collection;I do not know;Wells Fargo & Company;CA;Web;Yes;No
698569;08/10/2016;Debt collection;Other (i.e. phone, health club, etc.);Hunter Warfield, Inc.;CA;Web;Yes;No
698779;08/08/2016;Payday loan;Payday loan;Duvera Billing Services, LLC;CA;Web;Yes;No
698890;09/16/2016;Debt collection;I do not know;ERC;MS;Web;Yes;No
699053;09/14/2016;Debt collection;Medical;I.C. System, Inc.;FL;Web;Yes;No
699194;09/20/2016;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
699277;10/21/2016;Debt collection;Other (i.e. phone, health club, etc.);Columbia Recovery Group LLC;WA;Web;Yes;Yes
699330;09/19/2016;Debt collection;Other (i.e. phone, health club, etc.);I.C. System, Inc.;TX;Web;Yes;No
699341;11/11/2016;Debt collection;Other (i.e. phone, health club, etc.);U.S. Bancorp;MO;Web;Yes;Yes
699343;09/19/2016;Debt collection;Other (i.e. phone, health club, etc.);I.C. System, Inc.;TX;Web;Yes;No
699346;11/11/2016;Debt collection;Credit card;Synchrony Financial;AL;Web;Yes;Yes
699514;09/14/2016;Debt collection;Credit card;Citibank;CO;Web;Yes;No
699527;09/21/2016;Debt collection;Other (i.e. phone, health club, etc.);Express Recovery Services, Inc.;UT;Web;Yes;No
699689;09/22/2016;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;FL;Web;Yes;No
699910;09/13/2016;Debt collection;Credit card;Synchrony Financial;GA;Web;Yes;No
699911;09/16/2016;Debt collection;Other (i.e. phone, health club, etc.);CCS Financial Services, Inc.;FL;Web;Yes;No
700025;11/09/2016;Debt collection;Credit card;Timothy C. Runyan, P.C.;MI;Web;Yes;Yes
700121;09/17/2016;Debt collection;Credit card;Messerli & Kramer P.A.;ND;Web;Yes;No
700282;08/05/2016;Debt collection;Credit card;Miller, Stark, Klein and Associates;AZ;Web;Yes;No
700394;09/12/2016;Payday loan;Payday loan;BlueChip Financial;OH;Web;Yes;No
700498;09/27/2016;Debt collection;Medical;AmeriCollect;LA;Web;Yes;No
700547;08/09/2016;Debt collection;Credit card;Colony Brands, Inc.;AR;Web;Yes;No
700558;08/16/2016;Debt collection;I do not know;F.H. Cann & Associates, Inc.;FL;Web;No;No
700947;09/20/2016;Debt collection;Medical;Credence Resource Management, LLC;CT;Web;Yes;No
701070;09/25/2016;Debt collection;Medical;HCFS Health Care Financial Services, Inc.;NJ;Web;Yes;No
701391;09/18/2016;Debt collection;Medical;R & B Corporation of Virginia;VA;Web;Yes;No
